total_cost,name,longitude,latitude
97.4,THE ABBOTSBURY PRACTICE,-0.397406,51.579266
218.43,NUFFIELD HOUSE HEALTH CENTRE,0.112828,51.774439
27.28,CLIFTON RISE FAMILY PRACTICE,-0.03143300000000001,51.476334
418.71,HASLEMERE HEALTH CENTRE,-0.707586,51.092107
25.79,THE DORCHESTER RD SURGERY,-2.457512,50.625193
254.06,ST.JAMES SURGERY,-1.989956,51.352926
365.06,BOTLEY MEDICAL CENTRE,-1.299442,51.753753
159.19,QUEEN'S MEDICAL CENTRE,-4.057196,51.080161
62.89,EXMOOR MEDICAL CENTRE,-3.544825,51.038507
72.05000000000003,CHARLES ROAD SURGERY,-1.850621,52.4722
182.84,WILLESDEN GREEN SURGERY,-0.216091,51.553773
538.69,BROOKROYD HOUSE,-1.67818,53.707224
509.91,NETTLEHAM MEDICAL PRACTICE,-0.476253,53.262865
343.32000000000005,SHEPPERTON MEDICAL PRACTICE,-0.453153,51.396402
97.99,THE MANOR PRACTICE,-0.234983,50.835138
54.59,CLAPHAM JUNCTION MEDICAL PRACTICE,-0.173908,51.465969
817.1699999999998,PEMBROKE MEDICAL GROUP,-3.560246,50.445527
99.98,GREENFORD ROAD MED.CTR.,-0.345702,51.537697
24.22,QUEENS WALK MEDICAL CENTRE,-0.393155,51.562716
227.71,ADDISON HOUSE - HAQUE PRACTICE,0.088979,51.770891
72.79999999999998,ST PETER'S STREET MEDICAL PRACTICE,-0.100772,51.535597
144.34,STOKENCHURCH MEDICAL CTRE,-0.904033,51.660479
130.17000000000002,ABBOTS BROMLEY SURGERY,-1.880966,52.819974
1.9,TOWNSIDE SURGERY,-2.29898,53.59031
12.89,GOODMAYES MEDICAL CENTRE,0.10990599999999999,51.567626
104.46,EAST PARADE MEDICAL PRACTICE,-1.061835,53.965993
1170.41,SHAFTESBURY MEDICAL CTR.,-1.497858,53.800234
64.17,GROBY ROAD MEDICAL CENTRE (ID PATCHETT),-1.150468,52.644337
346.9000000000001,FOUNTAIN MEDICAL CENTRE,-0.8043829999999998,53.07286
171.54,SCAWSBY HEALTH CENTRE PRACTICE,-1.167843,53.53678299999999
379.99,ST. GEORGE'S MEDICAL CENTRE,0.298817,52.458085
294.24,CENTRAL SURGERY,0.147747,51.812546
76.53,THE HOXTON SURGERY,-0.086829,51.533527
31.44,LL MEDICAL CARE LTD,0.0021,51.555415
561.9,THE ADAM PRACTICE,-2.07822,50.757881
166.2,PRIORY ROAD SURGERY,0.589253,50.860828
548.38,WISTARIA & MILFORD SURGERIES,-1.547285,50.760041
360.72,GORDON STREET SURGERY,-1.644613,52.810998
9.02,NEUROLOGY CNS 1,-1.962695,53.898015
130.14,PROSPECT MEDICAL PRACTICE,1.285656,52.643921
199.14,GROVELANDS MEDICAL CENTRE,-0.112028,51.620685
167.86,ST JAMES' SURGERY,1.315702,51.128516
154.45000000000005,OXSHOTT MEDICAL PRACTICE,-0.360843,51.333099
56.47,LAVENDER HILL GROUP PRACTICE,-0.15683,51.466044
623.0700000000002,ST.MARY'S SURGERY,-1.397475,50.905746
19.06,SPRINGMEAD SURGERY  CHARD,-2.967972,50.869562
192.28,POND TAIL SURGERY,-0.066728,51.246436
98.86000000000001,LYME VALLEY MEDICAL CENTRE,-2.22375,53.006305
97.54,WOODLANDS MEDICAL PRACTICE,-2.31213,53.406624
200.98,BATH ROAD SURGERY,-0.37684,51.469395
697.4499999999998,THE ALDERGATE MED.PRACT.,-1.695644,52.639079
407.56,EASTGATE MEDICAL GROUP,-1.462815,54.006795
381.03,NEWBOLD VERDON MED.PRACT.,-1.34334,52.634612
129.29999999999998,BAKERSFIELD MEDICAL CENTRE,-1.104957,52.960219
127.99,THE ORDNANCE UNITY CENTRE FOR HEALTH,-0.039073,51.672653
209.77,BLOXHAM SURGERY,-1.372977,52.018108
75.35000000000002,THE LAKESIDE PRACTICE,-1.148909,53.61549599999999
80.4,WESTWOOD CLINIC,-0.269054,52.591395
188.59,THEOBALD MEDICAL CENTRE,-0.285584,51.661381
3.87,THE SURGERY,-0.184519,51.497627
124.77,COMBS FORD SURGERY,0.995999,52.180181
126.02,HILLVIEW SURGERY,-0.318331,51.540536
54.35,DR HAFFIZ,-0.119262,51.539321
334.3,THE AVENUE SURGERY,-0.113425,50.844357
49.06,NEW POND ROW SURGERY,-0.322292,50.824911
267.05,LUDLOW - PORTCULLIS,-2.715958,52.368905
16.619999999999994,DADHANIA SURGERY,-1.491047,52.405815
481.78,HUDDERSFIELD ROAD SURGERY,-1.485631,53.558165
144.09,SHERINGHAM MEDICAL PRACTICE,1.214777,52.939688
368.65,CHURCH LANE HEALTH CENTRE,0.941162,50.984187
203.41000000000003,BARN CLOSE SURGERY,-1.859248,52.03627
23.74,LOSTOCK HALL MEDICAL CTR.,-2.688037,53.727502
84.03,SUMMERFIELD URGENT CARE CENTRE WIC,-1.937353,52.487686
76.5,PENINSULA MEDICAL PRACTICE,-2.915665,54.18795600000001
747.98,HEBDEN BRIDGE GROUP PRACTICE,-2.010942,53.744036
138.91,STOCKWELL LODGE MED.CTR.,-0.055287,51.713792
88.20999999999998,DR PM PATEL,0.219281,51.55632
7.67,CHISWICK FAMILY DRS PRACTICE,-0.259879,51.493563
52.61,ILFORD MEDICAL CENTRE,0.07431899999999998,51.556823
185.34,WITLEY SURGERY,-0.650163,51.156457
364.68,FURLONG MEDICAL CENTRE,-2.208139,53.063325
69.87,THE WATERFIELD PRACTICE,-0.733923,51.409204
45.63,JERICHO HEALTH CENTRE,-1.265958,51.760293
167.15,TEAN SURGERY,-1.988036,52.954415
448.4,THORNLEY STREET MEDICAL CENTRE,-2.125789,52.58843
13.3,MILE LANE HEALTH CENTRE,-2.335248,53.587814
68.66,BOLTON MEDICAL CENTRE,-2.431399,53.56543
55.67,WESTCROFT HEALTH CENTRE,-0.795699,52.006367
230.1,LOWTHER MEDICAL CENTRE,-3.586392,54.545056
190.02,ANDAMAN SURGERY,1.715485,52.45691600000001
104.74,BURNT ASH SURGERY,0.009913000000000002,51.452782
292.25,HILLVIEW MEDICAL CENTRE,-0.557727,51.315501
11.4,BATHEASTON MEDICAL CENTRE,-2.317387,51.406032
88.37999999999998,HEALD GREEN HEALTH CENTRE 2,-2.229276,53.369878
59.06,SMITH (RICHMOND LOCK),-0.322897,51.464517
65.56,JUBILEE GARDENS MEDICAL CENTRE,-0.368739,51.521097
241.71,BRAMPTON MEDICAL PRACTICE,-2.734846,54.94237
