total_cost,name,longitude,latitude
7990.019999999998,THE WILLESDEN MEDICAL CENTRE,-0.233873,51.547532
4954.76,EASTMEAD AVENUE SURGERY,-0.36274,51.531443
2160.3,KINCORA DOCTORS SURGERY,-0.412216,51.511666
2474.99,DR M GOYAL'S PRACTICE,0.156711,51.540066
7974.819999999998,TOLLGATE MEDICAL CENTRE,0.056362,51.515573
5356.2,HETHERINGTON GROUP PRACTICE,-0.12823,51.460932
2926.970000000001,SELHURST MEDICAL PRACTICE,-0.088969,51.390012
10135.34000000001,THE WATERFIELD PRACTICE,-0.733923,51.409204
3877.18,JERICHO HEALTH CENTRE,-1.265958,51.760293
8901.209999999997,PONTESBURY MEDICAL PRAC,-2.887922,52.650521
13374.609999999995,TUTBURY HEALTH CENTRE,-1.686361,52.858454
11673.369999999983,TEAN SURGERY,-1.988036,52.954415
6275.790000000003,WAKE GREEN SURGERY,-1.883357,52.446103
6302.500000000005,THORNLEY STREET MEDICAL CENTRE,-2.125789,52.58843
9294.730000000003,MEREPARK MEDICAL CENTRE,-2.300747,53.093285
10737.439999999997,RAINHILL VILLAGE SURGERY,-2.763813,53.41631
5517.569999999998,MILE LANE HEALTH CENTRE,-2.335248,53.587814
8060.08,NEW ISLINGTON MEDICAL CENTRE,-2.219472,53.4829
16394.43999999999,CLARENDON MEDICAL CENTRE,-2.079951,53.45264
7996.649999999998,BRAITHWAITE RD SURGERY,-2.574985,53.477412
6877.0099999999975,WOODGRANGE MEDICAL PRACTICE,0.025253,51.548596
2908.6900000000014,JARVIS MEDICAL PRACTICE,-2.095095,53.537786
3647.24,DR SP TALPAHEWA,-0.260303,51.616115
2.64,WIRRAL WIC (APH)_WIC APH,-3.096815,53.36964
99.61000000000001,IC24 LTD (NORFOLK & WISBECH OOH),0.891514,51.129106
5718.310000000002,BRANDON MEDICAL PRACTICE,0.6233,52.448489
6475.1200000000035,BOLTON MEDICAL CENTRE,-2.431399,53.56543
6190.6,THE MANSELL ROAD PRACTICE,-0.358969,51.525654
8998.939999999997,WESTCROFT HEALTH CENTRE,-0.795699,52.006367
636.1999999999998,FOUNDATIONS,-1.257899,54.563441
116.34999999999998,(FRACTURE CLINIC) NORTH OOH,-0.883829,52.236068
2789.0599999999995,READING WALK-IN HEALTH CENTRE,-0.9758960000000002,51.454809
10.44,CARLISLE LOCALITY PRIMARY CARE SERVICES,-2.8956419999999996,54.892234
31.54,MERSEYCARE NHS TRUST - NMP,-2.933499,53.407265
11.699999999999998,BRADFORD DISTRICT CARE TRUST,-1.788605,53.839675
21.5,PUBLIC HEALTH SERVICES,0.020377,51.403879
6.81,GP EXTENDED HOURS SERVICE,-0.62317,54.485919
48.99,CORRINGHAM HUB,0.42690200000000006,51.513843
276.79999999999995,NORTH TYNESIDE CARE PLUS,-1.456596,55.011193
9.979999999999999,KINGSTON CCG SLDUC OOH,-0.283378,51.412517
47.09,8 TO 8 TOP-UP HUB QMH,0.101687,51.419041
26.71,OPTIMUSEXTENDEDACCESS,-0.596637,53.18754
9.170000000000002,SUFFOLK GP FEDERATION OOH,1.164244,52.044508
15527.840000000013,LOWTHER MEDICAL CENTRE,-3.586392,54.545056
15423.180000000002,COLLEGE LANE SURGERY,-1.336292,53.644573
13450.74,THE SURGERY CLIFTON ROAD,-1.737497,53.013356
12681.260000000002,THE ORCHARD MED PRACTICE,-1.231693,52.533972
30705.63,MUNRO MEDICAL CENTRE,-0.147427,52.794037
7367.91,MOSBOROUGH HEALTH CENTRE,-1.364873,53.325238
8977.909999999998,ORCHARD SURGERY MELBOURN,0.020092,52.080651
17746.090000000007,HIGH STREET SURGERY,1.756043,52.482123
9268.499999999998,ANDAMAN SURGERY,1.715485,52.45691600000001
40381.040000000015,STANMORE MEDICAL GROUP,-0.204612,51.913274
8148.959999999997,PUCKERIDGE & STANDON SURGERY,0.019374,51.888296
17954.500000000007,KING GEORGE SURGERY,-0.206096,51.907416
6708.700000000002,COMMONWEALTH HEALTH CENTRE,0.36308,51.463166
5958.0099999999975,KEATS GROUP PRACTICE,-0.17103,51.555534
5117.36,BURNT ASH SURGERY,0.009913000000000002,51.452782
11639.480000000005,HILLVIEW MEDICAL CENTRE,-0.557727,51.315501
12425.509999999998,DOWNING STREET GROUP PRACTICE,-0.7989009999999998,51.212905
3335.3799999999987,ASHBURTON PARK MEDICAL CENTRE,-0.064221,51.384147
6621.739999999998,TAMWORTH HOUSE MEDICAL CENTRE.,-0.146254,51.40122
10361.310000000003,PARKSIDE PRACTICE,-1.353169,50.970948
5588.230000000002,ST.PETERS SURGERY,-1.372792,50.897829
3687.4199999999987,NEATH HILL HEALTH CENTRE,-0.747321,52.060411
6901.939999999998,BATHEASTON MEDICAL CENTRE,-2.317387,51.406032
10340.89,DARTMOUTH MEDICAL PRACTICE,-3.580811,50.351157
12526.150000000005,DARTFORD EAST HEALTH CENTRE,0.236914,51.440747
12199.98,CHURCH STREET PRACTICE,-0.459783,51.37345
8294.280000000002,THE GREYSWOOD PRACTICE,-0.144853,51.419489
3943.469999999999,BOLINGBROKE MEDICAL CENTRE (THMP),-0.168282,51.45617
7385.120000000003,LEYBOURNE SURGERY,-1.88721,50.758437
15083.300000000005,THE BORDER PRACTICE,-0.740565,51.240995
15389.28999999999,PATFORD HOUSE PARTNERSHIP,-2.005519,51.437601
4807.880000000001,CHATHAM STREET SURGERY,-0.981895,51.455924
17921.79,THE CROSS KEYS PRACTICE,-0.830848,51.723655
11747.290000000005,WHITELADIES MEDICAL GROUP,-2.612382,51.465097
7021.610000000002,HILLCREST SURGERY,-2.431687,51.311982
12238.590000000007,DEVON SQUARE SURGERY,-3.60508,50.529985
6279.029999999999,ESTOVER SURGERY,-4.0952,50.411271
9213.630000000006,THE ROYAL WELL SURGERY,-2.0815,51.906706
7637.070000000002,APSLEY SURGERY,-2.187008,53.035377
9417.440000000002,THE LIMES SURGERY MEDICAL CENTRE,-2.114052,52.456884
5873.899999999994,ASHFIELD ROAD SURGERY,-2.132841,52.62604399999999
11024.679999999997,NORTHGATE MEDICAL CENTRE,-2.892972,53.19509300000001
13585.869999999995,RIVERSIDE SURGERY,-3.006197,53.372004
13984.949999999988,LAYTON MEDICAL CENTRE,-3.027291,53.827425
17746.499999999993,HT PRACTICE,-2.110496,53.478305
8952.320000000003,WESTLEIGH MEDICAL PRACTICE,-2.526024,53.510851
968.45,MEDICUS HEALTH PARTNERS-CURZON AVENUE,-0.036518,51.645435
4592.360000000003,WINDMILL SURGERY,-1.48555,52.449933
5257.590000000001,ARNOS GROVE MEDICAL CENTR,-0.129838,51.615476
1397.0,ST.QUINTIN HEALTH CENTRE,-0.220325,51.519199
5609.450000000003,PARK COMMUNITY PRACTICE,-1.871717,53.725678
768.93,NT&H COMM CARDIAC N,-1.227837,54.702398
0.63,WALTHAM FOREST CCG(NMP-COMMUNITY HEALTH),-0.022546,51.616083
1.34,LEARNING DIS,-2.182554,52.185545
4.54,BELLE VUE (HOSPITAL BEDS),-1.215564,54.570237
31.49,CAMDEN COMMUNITY NURSING,-0.131658,51.53665
51.45,CHELTENHAM LOCALITY NURSE PRESCRIBER,-2.176389,51.847073
1108.1299999999992,CARDIAC SERVICE STOKE AND NORTH,-2.109085,52.810605
9.9,N&S COMMUNITY DERMATOLOGY CLINIC,-1.032629,53.141866
5.07,COMMUNITY DERMATOLOGY SOUTHWARK GSTT,-0.08679399999999998,51.503466
91.37,CHESTERFIELD HEALTH PROVIDER LTD,-1.43962,53.233943
4461.120000000001,MELROSE SURGERY,-1.287301,54.609397
12104.940000000004,BLACKETTS MEDICAL PRACTICE,-1.559007,54.527221
8656.639999999998,DR A SINHA,-0.108523,53.567689
16447.23,WILLINGTON SURGERY,-1.566835,52.850285
4351.719999999998,UPWELL STREET SURGERY,-1.434724,53.406424
8809.78,LAKENHAM SURGERY,1.296577,52.6183
14178.719999999998,MANOR FARM MEDICAL CENTRE,0.690513,52.648544
10915.879999999996,PLOWRIGHT MEDICAL CENTRE,0.686691,52.655577
15732.819999999994,REGAL CHAMBERS SURGERY,-0.275959,51.952843
5391.710000000006,STANHOPE SURGERY,-0.032073,51.688002
2944.829999999998,THE GARWAY MEDICAL PRACTICE,-0.185494,51.515392
11092.180000000002,BEECHWOOD SURGERY,0.292731,51.608567
6611.659999999997,THE NIGHTINGALE PRACTICE,-0.062434,51.558261
8858.460000000003,THE GRAHAM PRACTICE,0.048721,51.541534
8363.820000000003,ISLAND HEALTH,-0.013513,51.495357
16959.36999999999,STANFORD MEDICAL CENTRE,-0.148293,50.838378
8681.410000000005,NEWINGTON ROAD SURGERY,1.399222,51.343459
14323.170000000006,BELVEDERE MEDICAL CENTRE,0.144376,51.482567
19207.540000000005,ST.LAWRENCE SURGERY,-0.390026,50.823979
21309.170000000006,MID SUSSEX HEALTH CARE,-0.175279,50.933719
12255.299999999988,THE WHITELEY SURGERY,-1.266072,50.88262
49590.820000000036,ACORN HEALTH PARTNERSHIP,-1.114058,51.245047
71352.70999999996,PORTSDOWN GROUP PRACTICE,-1.080952,50.812876
21054.150000000016,THE ELMS PRACTICE,-0.976476,50.789794
14706.95,ESPLANADE SURGERY,-1.158697,50.731943
5912.180000000002,GLASTONBURY HEALTH CENTRE,-2.712893,51.148733
23788.610000000015,MAYFIELD SURGERY,-2.13456,52.982709
8118.790000000008,BRIDGE MEDICAL,-1.506726,55.038077
2080.440000000001,WINDSOR MEDICAL CENTRE,-1.622157,53.693875
14081.030000000004,ASHBOURNE MEDICAL PRACTICE,-1.737589,53.012862
12570.309999999996,THE UPPINGHAM SURGERY,-0.723557,52.594972
16159.930000000008,ABBEY MEDICAL GROUP,-1.119194,53.100674
9197.149999999996,LOWMOOR ROAD SURGERY,-1.244634,53.100062
10577.969999999992,BIRLEY HEALTH CENTRE,-1.396985,53.340317
