total_cost,name,longitude,latitude
1491.4899999999998,READESMOOR MEDICAL GROUP PRACTICE,-2.216792,53.163762
691.25,AUDLEM MEDICAL PRACTICE,-2.508717,52.989615
1470.2099999999996,THE KILTEARN MEDICAL CTR.,-2.518506,53.068155
1871.96,ROPE GREEN MEDICAL CENTRE,-2.453958,53.06655
826.0499999999998,MEREPARK MEDICAL CENTRE,-2.300747,53.093285
442.48,THE SURGERY,-2.605295,53.024859
837.17,FIRDALE MEDICAL CENTRE,-2.537387,53.253804
1167.76,HOLES LANE MEDICAL CENTRE,-2.545107,53.399828
536.04,SPRINGFIELDS MEDICAL CENTRE,-2.597522,53.389256
1621.29,STOCKTON HEATH MED.CENTRE,-2.582161,53.37195
407.32000000000005,STRETTON MEDICAL CENTRE,-2.577017,53.339489
622.87,BUNBURY MEDICAL PRACTICE,-2.649377,53.116827
748.02,PARK MEDICAL CENTRE,-2.873099,53.202665
712.47,NORTHGATE MEDICAL CENTRE,-2.892972,53.19509300000001
638.37,LACHE HEALTH CENTRE,-2.914326,53.173615
699.48,NESTON MEDICAL CENTRE,-3.064349,53.291818
802.8800000000001,THE VILLAGE SURGERIES GROUP,-2.771265,53.124246
456.12,COMMONFIELD RD SURGERY,-3.086369,53.370187
1015.73,RIVERSIDE SURGERY,-3.006197,53.372004
666.4,MANOR HEALTH CTR,-3.044493,53.421061
603.32,MORETON CROSS GROUP PRACTICE,-3.111975,53.403551
614.73,GREASBY GROUP PRACTICE,-3.121417,53.377628
385.87,HEATHERLANDS MED CTR,-3.089543,53.381475
476.33,MORETON MEDICAL CENTRE,-3.110005,53.39886
601.6600000000002,SUNLIGHT GROUP PRACTICE,-3.00005,53.363076
188.34,CHAPELFORD PRIMARY CARE CENTRE,-2.633066,53.39615799999999
487.05,BLACKHEATH MED CTR,-3.104694,53.412239
51.81,WIRRAL HEART SUPPORT,-3.026531,53.380029
0.92,HOSP.OF THE GOOD SHEPHERD,-2.901692,53.242544
308.79,THE WILLASTON SURGERY,-3.011643,53.292908
350.51,TOWNFIELD HEALTH CENTRE,-3.064248,53.378798
670.3299999999998,BLACKETTS MEDICAL PRACTICE,-1.559007,54.527221
1213.56,DENMARK STREET SURGERY,-1.552252,54.538825
525.61,ROCKLIFFE COURT SURGERY,-1.544074,54.483444
442.09,PARKGATE SURGERY,-1.548606,54.523273
1165.02,ST ANDREW'S MEDICAL PRACTICE,-1.598213,54.699634
1804.48,WILLIAM BROWN CENTRE,-1.33142,54.757994
1404.0400000000004,AUCKLAND MEDICAL GROUP,-1.678996,54.648085
2.95,PRIMARY HEALTHCARE DARLINGTON,-1.561958,54.528141
361.98,OLD FORGE SURGERY,-2.079758,54.623041
1591.4900000000002,FERRYHILL AND CHILTON MEDICAL PRACTICE,-1.556828,54.689838
1253.0100000000002,SKERNE MEDICAL GROUP,-1.4488,54.654032
1380.77,PEASE WAY MEDICAL CENTRE,-1.576495,54.618581
5.52,RICHARDSON COMMUNITY HOSPITAL,-1.9161529999999998,54.545708
950.52,BISHOPS CLOSE MEDICAL PRACTICE,-1.599142,54.699817
1225.26,TANFIELD VIEW MEDICAL GROUP,-1.701373,54.869939
2370.74,THE MEDICAL GROUP,-1.628911,54.748296
790.4899999999999,MIDDLE CHARE MEDICAL GROUP,-1.573113,54.855636
319.5,BROWNEY HOUSE SURGERY,-1.670679,54.800313
553.64,LEADGATE SURGERY,-1.805988,54.860562
980.55,YARM MEDICAL PRACTICE,-1.355519,54.50530500000001
1830.37,THORNABY & BARWICK MEDICAL GROUP,-1.292128,54.538149
1720.81,NORTON MEDICAL CENTRE,-1.308737,54.588737
1227.93,WOODLANDS FAMILY MEDICAL CENTRE,-1.321204,54.561215
196.54,MELROSE SURGERY,-1.287301,54.609397
806.4599999999998,KINGSWAY MEDICAL CENTRE,-1.289009,54.606459
647.78,THE ROSEBERRY PRACTICE,-1.292215,54.611726
567.3299999999998,THE PATEL PRACTICE,-1.1885709999999998,54.661404
2.2,EXTENDED HOURS SERVICE-ONE LIFE,-1.214164,54.682342
603.9200000000002,RIVERSIDE MEDICAL PRACTICE,-1.315584,54.56887
1206.32,MARTONSIDE MEDICAL CENTRE,-1.220329,54.553175
717.08,THE ENDEAVOUR PRACTICE,-1.235397,54.575047
1260.57,THE GARTH,-1.055444,54.532597
1942.51,NEWLANDS MEDICAL CENTRE,-1.226035,54.571931
1560.74,SOUTH GRANGE MEDICAL GROUP PRACTICE,-1.166506,54.56995500000001
369.93,LITTLE LEVER HEALTH CENTRE 1,-2.370624,53.55981800000001
97.4,FOUNDATIONS,-1.257899,54.563441
403.14,HALLIWELL SURGERY 1,-2.431738,53.588322
