total_cost,name,longitude,latitude
611.1,COLVILLE HEALTH CENTRE,-0.206231,51.515837
1209.84,RICHMOND MEDICAL GROUP,-0.267239,51.465848
431.16,ARCHWAY MEDICAL CENTRE,-0.126124,51.562541
364.54,ATHENA MEDICAL CENTRE,-0.053257,51.554943
1786.27,LAKE ROAD PRACTICE,-1.078356,50.804825
1371.33,ROUNDWELL MEDICAL CENTRE,1.203795,52.648844
2535.09,ST.JAMES SURGERY,1.147433,51.787326
990.23,THE MAYFLOWER MEDICAL PRACTICE,-1.01945,53.431872
589.03,HYLTON MEDICAL GROUP,-1.414195,54.908604
1707.57,EDENFIELD ROAD SURGERY,-2.188671,53.622297
208.18,THE EXMOOR SURGERY,-0.217218,51.522362
1542.02,CLEVEDON MEDICAL CENTRE,-2.84572,51.437228
493.53,ST ALBANS SURGERY,0.133341,51.537112
567.61,COLLINGWOOD FAMILY PRACTICE,-1.903405,52.55667
1180.67,POPLAR HOUSE SURGERY,-3.03076,53.754721
1367.68,MARTON MEDICAL PRACTICE,-3.034524,53.812843
989.27,OAKRIDGE PARK MEDICAL CENTRE,-0.777853,52.068655
226.54,THE TUDOR HOUSE MEDICAL CENTRE,-0.266689,51.564495
743.36,GRANGE STREET SURGERY,-0.335878,51.757298
1615.78,THE PARK SURGERY,1.729276,52.606218
1962.07,BIDDULPH VALLEY SURGERY,-2.178498,53.116111
156.74,THE BALAJI SURGERY  THE SPARKBROOK CHC,-1.871333,52.462659
241.89,HARLEY GROVE MEDICAL CTR.,-0.027752,51.527964
546.53,STREATFIELD HEALTH CENTRE,-0.30812,51.593812
764.88,THE LIMES SURGERY MEDICAL CENTRE,-2.114052,52.456884
465.67,STAVERTON SURGERY,-0.22584,51.544182
849.01,SPRINGWELL MEDICAL GROUP,-1.422181,54.890239
784.44,DR WS RIDDELL'S PRACTICE,-1.223723,53.260141
689.98,VIOLET LANE MEDICAL PRACTICE,-0.107972,51.360366
891.09,PARKSIDE GROUP PRACTICE,-0.098549,51.350645
624.51,BEDFORD HILL FAMILY PRACTICE,-0.149067,51.44085
725.25,KINGS MEDICAL CENTRE,-1.216402,54.571717
1291.62,SILVERDALE PRACTICE,-0.121708,50.952843
1671.37,PENNY'S HILL PRACTICE,-1.894499,50.801788
659.02,APPLEBY SURGERY,-1.456596,55.011193
421.41,ASHWELL MEDICAL CENTRE,-1.778612,53.803786
135.79,BARTON SURGERY,-4.088247,50.359085
791.93,AVON VALLEY PRACTICE,-1.812104,51.294105
1784.68,THE ARMADA FAMILY PRACTICE,-2.571861,51.413438
1073.73,WOODVIEW MEDICAL CENTRE,-0.841889,52.268682
895.74,PRINCES GARDENS SURGERY,-0.766458,51.250407
2.04,COMMUNITY NURSING,-2.372621,51.358169
1502.22,WELLFIELD HEALTH CENTRE,-2.147479,53.606581
647.32,BRAITHWAITE RD SURGERY,-2.574985,53.477412
1005.37,SEDLESCOMBE & WESTFIELD SURGERIES,0.534725,50.934129
4.37,PDS MEDICAL OOH,-3.023363,53.797158
541.15,RIVERSIDE SURGERY,0.180773,51.479567
1385.51,RIDGEWAY VIEW FAMILY PRACTICE,-1.791571,51.524175
1414.76,SCHOPWICK SURGERY,-0.299293,51.645362
6.35,URGENT CARE CENTRE HRCH,-0.324434,51.473648
910.09,THE WOOTTONS SURGERY,0.437136,52.790343
292.83,THE WILLOWS MEDICAL PRACTICE,-2.309137,53.485461
377.4,STRATFORD VILLAGE SURGERY,0.006461,51.542096
438.35,MIRFIELD SURGERY,-1.776956,52.469072
509.11,COMMONWEALTH HEALTH CENTRE,0.36308,51.463166
558.31,HENDON WAY SURGERY,-0.241873,51.579182
894.78,JUBILEE HEALTHCARE,-1.518884,52.403423
922.53,THE ELMS MEDICAL CENTRE,0.557729,51.4201
501.7,WIGMORE MEDICAL CENTRE,0.588765,51.352272
1470.29,VICTORIA ROAD SURGERY,1.716498,52.471024
8.12,INTEGRATED CARE 24 LTD (CWSX OOH),0.891514,51.129106
647.55,CHURCH HILL SURGERY,1.229008,52.428527
988.73,E HARLING & KENNINGHALL MEDICAL PRACTICE,0.932279,52.43909
1205.66,WATLING MEDICAL CENTRE,-0.262021,51.603291
1.68,SUSSEX BEACON,-0.112934,50.838597
372.89,OXFORD ROAD MEDICAL PRACTICE,-1.603365,54.699579
232.94,DR SURYANI,-2.070174,52.552984
4243.85,CARN TO COAST HEALTH CENTRES,-5.268154,50.226222
1216.63,OLD HARLOW HEALTH CENTRE,0.134039,51.784038
1934.64,NORTHAM SURGERY,-4.215465,51.038082
406.87,KIRKDALE MEDICAL CENTRE,-2.973842,53.433523
1844.11,WEAVERS MEDICAL,-0.733538,52.401531
1700.97,LITTLEWICK MEDICAL CENTRE,-1.304838,52.966452
1598.89,ST JAMES' MEDICAL CENTRE,-2.289474,53.708959
704.19,REVEL SURGERY,-1.361421,52.41228
5.15,HMP DARTMOOR,-3.997529,50.549223
379.06,RUDGWICK MEDICAL CENTRE,-0.450643,51.090073
