total_cost,name,longitude,latitude
637.56,COLVILLE HEALTH CENTRE,-0.206231,51.515837
1299.48,RICHMOND MEDICAL GROUP,-0.267239,51.465848
380.7,ARCHWAY MEDICAL CENTRE,-0.126124,51.562541
332.77,ATHENA MEDICAL CENTRE,-0.053257,51.554943
2158.84,LAKE ROAD PRACTICE,-1.078356,50.804825
1411.61,ROUNDWELL MEDICAL CENTRE,1.203795,52.648844
2701.5,ST.JAMES SURGERY,1.147433,51.787326
873.43,THE MAYFLOWER MEDICAL PRACTICE,-1.01945,53.431872
581.53,HYLTON MEDICAL GROUP,-1.414195,54.908604
1877.52,EDENFIELD ROAD SURGERY,-2.188671,53.622297
267.35,THE EXMOOR SURGERY,-0.217218,51.522362
1799.68,CLEVEDON MEDICAL CENTRE,-2.84572,51.437228
746.56,ST ALBANS SURGERY,0.133341,51.537112
652.83,COLLINGWOOD FAMILY PRACTICE,-1.903405,52.55667
1325.16,POPLAR HOUSE SURGERY,-3.03076,53.754721
1484.94,MARTON MEDICAL PRACTICE,-3.034524,53.812843
1176.74,OAKRIDGE PARK MEDICAL CENTRE,-0.777853,52.068655
411.22,THE TUDOR HOUSE MEDICAL CENTRE,-0.266689,51.564495
812.03,GRANGE STREET SURGERY,-0.335878,51.757298
1987.14,THE PARK SURGERY,1.729276,52.606218
1967.4,BIDDULPH VALLEY SURGERY,-2.178498,53.116111
189.3,THE BALAJI SURGERY  THE SPARKBROOK CHC,-1.871333,52.462659
280.62,HARLEY GROVE MEDICAL CTR.,-0.027752,51.527964
525.6,STREATFIELD HEALTH CENTRE,-0.30812,51.593812
872.79,THE LIMES SURGERY MEDICAL CENTRE,-2.114052,52.456884
364.94,STAVERTON SURGERY,-0.22584,51.544182
932.64,SPRINGWELL MEDICAL GROUP,-1.422181,54.890239
1024.17,DR WS RIDDELL'S PRACTICE,-1.223723,53.260141
937.72,VIOLET LANE MEDICAL PRACTICE,-0.107972,51.360366
866.92,PARKSIDE GROUP PRACTICE,-0.098549,51.350645
650.86,BEDFORD HILL FAMILY PRACTICE,-0.149067,51.44085
1060.54,KINGS MEDICAL CENTRE,-1.216402,54.571717
1131.73,SILVERDALE PRACTICE,-0.121708,50.952843
1605.07,PENNY'S HILL PRACTICE,-1.894499,50.801788
655.81,APPLEBY SURGERY,-1.456596,55.011193
431.07,ASHWELL MEDICAL CENTRE,-1.778612,53.803786
213.8,BARTON SURGERY,-4.088247,50.359085
8,WEST MERTON ACCESS HUB,-0.210281,51.409967
882.48,AVON VALLEY PRACTICE,-1.812104,51.294105
2170.39,THE ARMADA FAMILY PRACTICE,-2.571861,51.413438
